ID;Case Number;Date;Block;IUCR;Primary Type;Description;Location Description;Arrest;Domestic;Beat;District;Ward;Community Area;FBI Code; X Coordinate;Y Coordinate;Year;Updated on;Latitude;Longitude;Location
13747470;JJ147364;02/07/2025 20.02;011XX S CANAL ST;860;THEFT;RETAIL THEFT;DEPARTMENT STORE;FALSE;FALSE;124;1;28;28;6;1173303;1895451;2025;2025 Feb 15 03:41:40 PM;41.86854191;-87.63923536;POINT (-87.639235361 41.868541914)
13742927;JJ142385;02/07/2025 20.00;021XX W IOWA ST;502P;OTHER OFFENSE;FALSE / STOLEN / ALTERED TRP;STREET;FALSE;FALSE;1212;12;36;24;26;1162000;1905978;2025;2025 Feb 15 03:41:40 PM;41.8976722;-87.68043702;POINT (-87.680437017 41.8976722)
13742994;JJ142413;02/07/2025 20.00;062XX S RACINE AVE;1310;CRIMINAL DAMAGE;TO PROPERTY;STREET;TRUE;FALSE;712;7;16;68;14;1169392;1863346;2025;2025 Feb 15 03:41:40 PM;41.78052849;-87.65452463;POINT (-87.654524631 41.780528489)
13743080;JJ142447;02/07/2025 20.00;070XX S COTTAGE GROVE AVE;2093;NARCOTICS;FOUND SUSPECT NARCOTICS;STREET;FALSE;FALSE;321;3;6;42;18;1182773;1858454;2025;2025 Feb 15 03:41:40 PM;41.76680404;-87.60561968;POINT (-87.605619683 41.76680404)
13743354;JJ142744;02/07/2025 20.00;025XX W NORTH AVE;910;MOTOR VEHICLE THEFT;AUTOMOBILE;VEHICLE NON-COMMERCIAL;FALSE;FALSE;1434;14;1;24;7;1159025;1910548;2025;2025 Feb 15 03:41:40 PM;41.91027426;-87.69123823;POINT (-87.69123823 41.91027426)
13747134;JJ147282;02/07/2025 20.00;009XX W 78TH ST;910;MOTOR VEHICLE THEFT;AUTOMOBILE;STREET;FALSE;FALSE;621;6;17;71;7;1171469;1853118;2025;2025 Feb 15 03:41:40 PM;41.75241635;-87.64720911;POINT (-87.647209113 41.752416353)
13743075;JJ142445;02/07/2025 19.53;024XX S CALIFORNIA AVE;4387;OTHER OFFENSE;VIOLATE ORDER OF PROTECTION;APARTMENT;FALSE;TRUE;1033;10;24;30;26;1158087;1887549;2025;2025 Feb 15 03:41:40 PM;41.84718202;-87.69531217;POINT (-87.695312173 41.847182017)
13743003;JJ142403;02/07/2025 19.51;022XX S INDIANA AVE;1480;CONCEALED CARRY LICENSE VIOLATION;OTHER;STREET;TRUE;FALSE;132;1;3;33;15;1177975;1889553;2025;2025 Feb 15 03:41:40 PM;41.85225249;-87.62226295;POINT (-87.622262954 41.852252485)
13743010;JJ142386;02/07/2025 19.51;065XX S CALIFORNIA AVE;143A;WEAPONS VIOLATION;UNLAWFUL POSSESSION - HANDGUN;STREET;TRUE;FALSE;831;8;16;66;15;1158837;1861168;2025;2025 Feb 15 03:41:40 PM;41.77477387;-87.69328075;POINT (-87.693280748 41.774773874)
13743083;JJ142381;02/07/2025 19.47;043XX S DR MARTIN LUTHER KING JR DR;041A;BATTERY;AGGRAVATED - HANDGUN;STREET;FALSE;FALSE;221;2;3;38;04B;1179579;1876394;2025;2025 Feb 15 03:41:40 PM;41.81610663;-87.61677877;POINT (-87.616778773 41.816106634)
13743123;JJ142529;02/07/2025 19.47;043XX S DR MARTIN LUTHER KING JR DR;2021;NARCOTICS;POSSESS - BARBITURATES;STREET;TRUE;FALSE;221;2;3;38;18;1179579;1876394;2025;2025 Feb 15 03:41:40 PM;41.81610663;-87.61677877;POINT (-87.616778773 41.816106634)
13743022;JJ142411;02/07/2025 19.45;064XX S MARYLAND AVE;4387;OTHER OFFENSE;VIOLATE ORDER OF PROTECTION;APARTMENT;FALSE;TRUE;312;3;20;42;26;1183001;1862629;2025;2025 Feb 15 03:41:40 PM;41.77825534;-87.60465433;POINT (-87.604654325 41.77825534)
13743095;JJ142481;02/07/2025 19.42;012XX S WABASH AVE;460;BATTERY;SIMPLE;GROCERY FOOD STORE;TRUE;FALSE;131;1;34;33;08B;1176963;1894850;2025;2025 Feb 15 03:41:40 PM;41.86681074;-87.62581703;POINT (-87.625817031 41.866810739)
13742986;JJ142383;02/07/2025 19.40;074XX S EVANS AVE;502P;OTHER OFFENSE;FALSE / STOLEN / ALTERED TRP;STREET;FALSE;FALSE;323;3;6;69;26;1182513;1855851;2025;2025 Feb 15 03:41:40 PM;41.75966718;-87.60665328;POINT (-87.606653277 41.759667178)
13743134;JJ142515;02/07/2025 19.31;012XX W 119TH ST;820;THEFT;$500 AND UNDER;ATHLETIC CLUB;FALSE;FALSE;524;5;21;53;6;1170139;1825866;2025;2025 Feb 15 03:41:40 PM;41.67766176;-87.65287226;POINT (-87.652872258 41.677661758)
13742936;JJ142384;02/07/2025 19.30;017XX W HOWARD ST;860;THEFT;RETAIL THEFT;GROCERY FOOD STORE;TRUE;FALSE;2422;24;49;1;6;1163126;1950347;2025;2025 Feb 15 03:41:40 PM;42.01939924;-87.67504949;POINT (-87.675049485 42.019399237)
13742920;JJ142369;02/07/2025 19.27;031XX W MANN DR;143A;WEAPONS VIOLATION;UNLAWFUL POSSESSION - HANDGUN;PARK PROPERTY;TRUE;FALSE;831;8;17;66;15;1156706;1859850;2025;2025 Feb 15 03:41:40 PM;41.77120034;-87.70112825;POINT (-87.701128253 41.771200341)
13743035;JJ142390;02/07/2025 19.26;003XX E 87TH ST;820;THEFT;$500 AND UNDER;SMALL RETAIL STORE;TRUE;FALSE;632;6;6;44;6;1180201;1847386;2025;2025 Feb 15 03:41:40 PM;41.73649154;-87.61538551;POINT (-87.615385513 41.736491541)
13743050;JJ142368;02/07/2025 19.26;055XX W CHICAGO AVE;1090;ARSON;ATTEMPT ARSON;SMALL RETAIL STORE;FALSE;FALSE;1524;15;37;25;9;1139204;1904791;2025;2025 Feb 15 03:41:40 PM;41.89486045;-87.764194;POINT (-87.764194002 41.894860447)
13743031;JJ142393;02/07/2025 19.25;120XX S LAFAYETTE AVE;1822;NARCOTICS;MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS;STREET;FALSE;FALSE;523;5;9;53;18;1178089;1825236;2025;2025 Feb 15 03:41:40 PM;41.67575697;-87.62379176;POINT (-87.623791761 41.675756968)
13747467;JJ147055;02/07/2025 19.20;017XX W NORTH SHORE AVE;820;THEFT;$500 AND UNDER;APARTMENT;FALSE;FALSE;2432;24;49;1;6;1163621;1944556;2025;2025 Feb 15 03:41:40 PM;42.00349815;-87.67339223;POINT (-87.67339223 42.003498154)
13743024;JJ142402;02/07/2025 19.18;060XX S MARSHFIELD AVE;3731;INTERFERENCE WITH PUBLIC OFFICER;OBSTRUCTING IDENTIFICATION;VEHICLE NON-COMMERCIAL;TRUE;FALSE;714;7;15;67;24;1166372;1864755;2025;2025 Feb 15 03:41:40 PM;41.78445985;-87.66555638;POINT (-87.665556377 41.784459849)
13743041;JJ142373;02/07/2025 19.18;0000X E ONTARIO ST;1310;CRIMINAL DAMAGE;TO PROPERTY;SMALL RETAIL STORE;FALSE;FALSE;1834;18;42;8;14;1176729;1904501;2025;2025 Feb 15 03:41:40 PM;41.89329892;-87.62638422;POINT (-87.626384218 41.893298918)
13743005;JJ142379;02/07/2025 19.15;005XX S MILLARD AVE;460;BATTERY;SIMPLE;SIDEWALK;TRUE;FALSE;1133;11;28;27;08B;1152102;1897646;2025;2025 Feb 15 03:41:40 PM;41.87500927;-87.71701122;POINT (-87.717011218 41.875009271)
13742935;JJ142372;02/07/2025 19.10;040XX S ARCHER AVE;460;BATTERY;SIMPLE;GROCERY FOOD STORE;TRUE;FALSE;921;9;12;58;08B;1158583;1877837;2025;2025 Feb 15 03:41:40 PM;41.82052103;-87.69375723;POINT (-87.693757231 41.82052103)
13743012;JJ142365;02/07/2025 19.09;077XX S ESSEX AVE;141B;WEAPONS VIOLATION;UNLAWFUL USE - OTHER FIREARM;RESIDENCE - YARD (FRONT / BACK);FALSE;FALSE;421;4;7;43;15;1194205;1854081;2025;2025 Feb 15 03:41:40 PM;41.75453115;-87.56386102;POINT (-87.563861017 41.754531146)
13742891;JJ142344;02/07/2025 19.03;023XX S WHIPPLE ST;1812;NARCOTICS;POSSESS - CANNABIS MORE THAN 30 GRAMS;STREET;TRUE;FALSE;1033;10;25;30;18;1156394;1888284;2025;2025 Feb 15 03:41:40 PM;41.84923329;-87.70150565;POINT (-87.701505653 41.849233288)
13742898;JJ142355;02/07/2025 19.02;039XX W DIVISION ST;2022;NARCOTICS;POSSESS - COCAINE;SIDEWALK;TRUE;FALSE;1112;11;37;23;18;1149720;1907713;2025;2025 Feb 15 03:41:40 PM;41.9026808;-87.72549519;POINT (-87.725495186 41.902680798)
13743197;JJ142552;02/07/2025 19.00;062XX S ALBANY AVE;820;THEFT;$500 AND UNDER;APARTMENT;FALSE;FALSE;823;8;15;66;6;1156789;1863186;2025;2025 Feb 15 03:41:40 PM;41.78035315;-87.70073405;POINT (-87.700734048 41.780353145)
13743501;JJ143047;02/07/2025 19.00;012XX W COLUMBIA AVE;820;THEFT;$500 AND UNDER;STREET;FALSE;FALSE;2432;24;49;1;6;1166626;1944948;2025;2025 Feb 15 03:41:40 PM;42.00450972;-87.66232567;POINT (-87.662325669 42.004509718)
13743656;JJ143147;02/07/2025 19.00;063XX S MINERVA AVE;820;THEFT;$500 AND UNDER;APARTMENT;FALSE;FALSE;314;3;20;42;6;1185274;1862873;2025;2025 Feb 15 03:41:40 PM;41.77887174;-87.59631384;POINT (-87.59631384 41.778871742)
13743717;JJ143355;02/07/2025 19.00;056XX N KIMBALL AVE;820;THEFT;$500 AND UNDER;CONVENIENCE STORE;FALSE;FALSE;1711;17;39;13;6;1152698;1937206;2025;2025 Feb 15 03:41:40 PM;41.98355338;-87.71377338;POINT (-87.713773382 41.983553381)
13743874;JJ143395;02/07/2025 19.00;016XX N SHEFFIELD AVE;860;THEFT;RETAIL THEFT;DEPARTMENT STORE;FALSE;FALSE;1813;18;2;7;6;1169398;1910955;2025;2025 Feb 15 03:41:40 PM;41.91117169;-87.65312017;POINT (-87.653120167 41.911171685)
13746207;JJ146314;02/07/2025 19.00;064XX S SEELEY AVE;910;MOTOR VEHICLE THEFT;AUTOMOBILE;STREET;FALSE;FALSE;726;7;16;67;7;1163801;1862002;2025;2025 Feb 15 03:41:40 PM;41.77695966;-87.67505999;POINT (-87.67505999 41.77695966)
13743000;JJ142348;02/07/2025 18.44;019XX N NATOMA AVE;1330;CRIMINAL TRESPASS;TO LAND;RESIDENCE;FALSE;FALSE;2513;25;29;25;26;1131774;1912191;2025;2025 Feb 15 03:41:40 PM;41.91529902;-87.79131113;POINT (-87.791311131 41.915299019)
13742944;JJ142376;02/07/2025 18.42;030XX W LAWRENCE AVE;3731;INTERFERENCE WITH PUBLIC OFFICER;OBSTRUCTING IDENTIFICATION;STREET;TRUE;FALSE;1713;17;33;14;24;1155092;1931731;2025;2025 Feb 15 03:41:40 PM;41.96848183;-87.70511631;POINT (-87.70511631 41.968481826)
